0,YCoord,ID,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST,POINT_X,POINT_Y
263,-87.00000000,0,0.018000,0.183758,0.182118,8.562169,8.562169,,-15.000000,-87.000000
264,-87.00000000,0,0.018000,0.181214,0.180711,8.587246,8.587246,,-13.000000,-87.000000
265,-87.00000000,0,0.018000,0.177494,0.179645,8.598204,8.598204,,-11.000000,-87.000000
266,-87.00000000,0,0.018000,0.173997,0.180615,8.555848,8.555848,,-9.000000,-87.000000
267,-87.00000000,0,0.018000,0.171869,0.182385,8.512859,8.512859,,-7.000000,-87.000000
268,-87.00000000,0,0.018000,0.168699,0.185040,8.448166,8.448166,,-5.000000,-87.000000
269,-87.00000000,0,0.018000,0.166542,0.189912,8.378837,8.378837,,-3.000000,-87.000000
270,-87.00000000,0,0.018000,0.165902,0.194987,8.328895,8.328895,,-1.000000,-87.000000
271,-87.00000000,0,0.018000,0.164920,0.208592,8.228799,8.228799,,1.000000,-87.000000
272,-87.00000000,0,0.018000,0.164354,0.221376,8.153359,8.153359,,3.000000,-87.000000
273,-87.00000000,0,0.018000,0.163610,0.236782,8.081712,8.081712,,5.000000,-87.000000
274,-87.00000000,0,0.018000,0.162405,0.261977,7.967287,7.967287,,7.000000,-87.000000
275,-87.00000000,0,0.018000,0.161393,0.287491,7.854759,7.854759,,9.000000,-87.000000
276,-87.00000000,0,0.018000,0.160991,0.304902,7.781847,7.781847,,11.000000,-87.000000
277,-87.00000000,0,0.018000,0.165455,0.326525,7.697767,7.697767,,13.000000,-87.000000
278,-87.00000000,0,0.018000,0.172434,0.345919,7.626120,7.626120,,15.000000,-87.000000
279,-87.00000000,0,0.018000,0.177092,0.358841,7.578496,7.578496,,17.000000,-87.000000
280,-87.00000000,0,0.018000,0.184205,0.373683,7.531293,7.531293,,19.000000,-87.000000
281,-87.00000000,0,0.018000,0.190202,0.379131,7.597672,7.597672,,21.000000,-87.000000
